ts	rss_kb	hwm_kb	pss_kb	minor	major
1781905250.496570758	20816	21608	12786	4042	0
1781905250.581397195	33628	37740	28406	9148	0
1781905250.661958931	43576	43840	38695	11707	0
1781905250.744769604	72088	73144	70133	19506	0
1781905250.827686706	79332	79332	74193	20522	0
1781905250.912425054	70468	79980	65021	21365	0
1781905250.993512689	70468	79980	65165	21401	0
1781905251.077002991	70468	79980	65165	21401	0
1781905251.156926972	75744	79980	70438	22719	0
1781905251.237266077	79704	79980	74494	23734	0
1781905251.318085572	291432	298872	309194	56194	0
1781905251.401762058	601548	608988	631266	99194	0
1781905251.488016872	919096	926596	943686	141523	0
1781905251.575632908	1270444	1277944	1285852	184645	0
1781905251.669287284	789816	1499044	784370	212272	0
1781905251.777083042	979220	1499044	986979	266156	0
1781905251.864481419	1185404	1499044	1195245	318131	0
1781905251.950018423	1421156	1499044	1432366	377466	0
1781905252.049789492	1631036	1636316	1646237	430966	0
1781905252.139612916	1838276	1838276	1833086	474421	0
1781905252.236123409	1839520	1839740	1834053	571676	0
1781905252.396672005	1839768	1839768	1834055	957817	0
1781905252.684685223	1839768	1839768	1834054	1072693	0
1781905252.780890761	1839768	1839768	1834055	1427552	0
1781905253.056807824	1840200	1840200	1834654	1497136	0
1781905253.150810061	1840464	1840464	1836356	1497459	0
1781905253.247021992	1843420	1843420	1838991	1498002	0
1781905253.444968953	1843420	1843420	1838991	1498002	0
1781905253.588995103	1843420	1843420	1838991	1498002	0
1781905253.727358213	1843420	1843420	1838991	1498002	0
1781905253.950641713	1843420	1843420	1838991	1498002	0
1781905254.042160371	1843420	1843420	1838992	1498002	0
1781905254.228762789	1843420	1843420	1838990	1498002	0
1781905254.341521913	1843420	1843420	1838989	1498002	0
1781905254.496859779	1843420	1843420	1838991	1498002	0
1781905254.598802025	1843420	1843420	1838990	1498002	0
1781905254.721336809	1843420	1843420	1838991	1498002	0
1781905254.819298887	1843420	1843420	1838990	1498002	0
1781905255.005258669	1843420	1843420	1838992	1498002	0
1781905255.247291226	1843420	1843420	1838992	1498002	0
1781905255.397972490	1844748	1844748	1840574	1498383	0
1781905255.543296026	1844748	1844748	1840575	1498383	0
1781905255.683900988	1844748	1844748	1840575	1498383	0
1781905255.808871242	1844748	1844748	1840577	1498383	0
1781905255.940809510	1844748	1844748	1840575	1498383	0
1781905256.044936722	1844748	1844748	1840574	1498383	0
1781905256.147588493	1844748	1844748	1840576	1498383	0
1781905256.265545577	1844748	1844748	1840577	1498383	0
1781905256.389156951	1844748	1844748	1840574	1498383	0
1781905256.488529498	1844748	1844748	1840576	1498383	0
1781905256.635366010	1844748	1844748	1840577	1498383	0
1781905256.753139695	1844748	1844748	1840577	1498383	0
1781905256.874044649	1844748	1844748	1840574	1498383	0
1781905256.990085929	1570304	1845220	787578	1498386	0
1781905257.078859971	83828	1845220	78137	1498386	0
