ts	rss_kb	hwm_kb	pss_kb	minor	major
1781905202.590812360	20040	21360	12727	3254	0
1781905202.667488979	33428	37476	28348	9142	0
1781905202.746121730	40676	40676	35509	10902	0
1781905202.825722553	67868	68396	65097	18314	0
1781905202.907996947	79192	79192	74176	20510	0
1781905202.986552319	70320	79884	65007	21354	0
1781905203.067924460	70320	79884	65152	21390	0
1781905203.157381053	70320	79884	65150	21390	0
1781905203.237380746	74276	79884	70452	22715	0
1781905203.318823416	79556	79884	74488	23726	0
1781905203.403344215	171680	175652	176703	37915	0
1781905203.487172751	325376	328844	330885	58425	0
1781905203.569549281	488468	491936	493691	80090	0
1781905203.665323900	611276	614744	616540	96411	0
1781905203.751136436	753944	757412	761808	115788	0
1781905203.856613561	885200	889232	893745	133276	0
1781905203.947876709	1032344	1035812	1039856	152704	0
1781905204.049964512	1162532	1163540	1169573	169904	0
1781905204.139807722	1289312	1291772	1298822	187232	0
1781905204.236979354	1425488	1428956	1436765	205601	0
1781905204.327300792	1561220	1564244	1572387	223560	0
1781905204.421648511	1704392	1706852	1717668	243068	0
1781905204.524958407	1841456	1843976	1853164	261000	0
1781905204.618011020	1975736	1978760	1987591	278820	0
1781905204.712738596	2104532	2107052	2116889	296043	0
1781905204.804933206	2236796	2239196	2249863	313780	0
1781905204.900070077	2372408	2375936	2386555	331951	0
1781905204.995394493	2511548	2513504	2526143	350458	0
1781905205.093889790	2654780	2656736	2670365	369691	0
1781905205.191395643	2806904	2810372	2825804	390594	0
1781905205.302069218	2953544	2956508	2970904	409746	0
1781905205.396957060	3089216	3091676	3108679	428202	0
1781905205.493077930	3232832	3236804	3252037	447184	0
1781905205.592697230	3376004	3380480	3396113	466241	0
1781905205.692985001	3532604	3536132	3552367	487142	0
1781905205.801298670	3677228	3679244	3697529	506293	0
1781905205.902000239	3822800	3826268	3843866	525794	0
1781905206.004023838	3970004	3972464	3992145	545570	0
1781905206.106709208	4117652	4120676	4140532	565335	0
1781905206.209031917	4267256	4273244	4293749	585667	0
1781905206.321330194	4430228	4433696	4454986	607047	0
1781905206.425510381	4580900	4584872	4607559	627716	0
1781905206.531931240	4737500	4740524	4763421	648343	0
1781905206.638264249	4895492	4899464	4927476	670727	0
1781905206.754878928	5060096	5062556	5086728	691152	0
1781905206.866639054	5219660	5221616	5246815	712414	0
1781905206.973372580	5371784	5375756	5400914	732997	0
1781905207.081077714	5529272	5532740	5559083	754119	0
1781905207.190670518	5688896	5691356	5720838	775837	0
1781905207.303329798	5867816	5871284	5898903	799177	0
1781905207.422558330	6027944	6031412	6061100	821034	0
1781905207.535428383	6193052	6195008	6224927	842578	0
1781905207.647422425	6363080	6365600	6394970	865319	0
1781905207.766325256	6529196	6532664	6564152	887537	0
1781905207.880124361	6663940	6666580	6665412	921673	0
1781905208.002310789	6820228	6824188	6823106	961097	0
1781905208.114849984	6981796	6983908	6984900	1002057	0
1781905208.236767679	7145740	7147852	7148739	1042444	0
1781905208.355330817	7309684	7311532	7314626	1083977	0
1781905208.472293804	7468348	7471252	7484346	1126473	0
1781905208.596310741	7637836	7640476	7644354	1157610	0
1781905208.713389291	7661332	7661332	7656317	1157622	0
1781905208.837316644	8013592	8013592	8063084	1165141	7
1781905209.156524958	8885540	8885540	8883628	1177721	9
1781905209.409279105	8893252	8893252	8888577	1178602	9
1781905209.636049323	8893252	8893252	8888577	1178602	9
1781905209.866048030	8893252	8893252	8888577	1178602	9
1781905209.988642317	8893252	8893252	8888578	1178602	9
1781905210.109385485	8893252	8893252	8888580	1178602	9
1781905210.268535391	8893252	8893252	8888577	1178602	9
1781905210.542995161	8893252	8893252	8888577	1178602	9
1781905210.665337329	8893252	8893252	8888580	1178602	9
1781905210.816798526	8893252	8893252	8888579	1178602	9
1781905211.025262005	8893252	8893252	8888578	1178602	9
1781905211.274308152	8893252	8893252	8888578	1178602	9
1781905211.461287368	8893252	8893252	8888578	1178602	9
1781905211.730099539	8893252	8893252	8890149	1178984	9
1781905211.855804607	8894844	8894844	8890229	1178984	9
1781905211.990689548	8894844	8894844	8890226	1178984	9
1781905212.111947786	8894844	8894844	8890227	1178984	9
1781905212.487601739	8894844	8894844	8890228	1178984	9
1781905212.609926606	8658080	8895092	7837230	1178987	9
1781905212.766796241	6135404	8895092	4556332	1178987	9
1781905212.875313934	2815712	8895092	78585	1178987	9
1781905212.958384462	83604	8895092	78582	1178987	9
