ts	rss_kb	hwm_kb	pss_kb	minor	major
1781913116.153957631	29340	37792	25790	8309	2
1781913116.266692400	36204	37792	32192	10878	2
1781913116.347619889	54072	54864	50973	14657	2
1781913116.431398945	75372	75372	71061	19499	2
1781913116.515543372	80060	80060	65461	21352	2
1781913116.601194945	70420	80060	66107	21389	2
1781913116.680880561	70420	80060	66107	21389	2
1781913116.761063021	70420	80060	66109	21389	2
1781913116.842296889	75696	80060	71402	22712	2
1781913116.924884676	79920	80060	75490	23789	2
1781913117.006674784	206520	209988	212881	42600	2
1781913117.088645599	363180	366648	371969	63756	2
1781913117.179427128	514860	518328	527458	84540	2
1781913117.268477679	676440	682428	693478	106831	2
1781913117.360575884	841044	844512	858189	128635	2
1781913117.449561852	910076	910076	906377	134046	6
1781913117.552382013	919244	919244	915586	135265	27
1781913117.648525340	925012	925508	921558	136283	45
1781913117.739387343	1002036	1002036	997944	146202	69
1781913117.831279415	1007428	1007428	1005920	147254	86
1781913117.927883102	1034940	1036372	1033022	150854	140
1781913118.022547675	1059028	1060508	1060709	154530	196
1781913118.121713874	1119840	1121328	1121089	162632	318
1781913118.217529113	1156928	1159792	1163281	168903	421
1781913118.311499244	1224412	1227276	1233669	178028	556
1781913118.403492120	1296880	1297812	1304524	187567	699
1781913118.496991688	1420424	1423340	1438406	205654	967
1781913118.597456493	1587588	1590996	1610757	228859	970
1781913118.694569369	1744632	1748100	1772536	250525	970
1781913118.788033829	1920084	1923552	1949769	274025	970
1781913118.886877233	2097612	2101080	2128335	297822	970
1781913118.986488759	2277420	2280888	2310214	322048	970
1781913119.088386827	2459868	2463900	2494128	346508	970
1781913119.190815941	2654232	2657760	2693924	373359	970
1781913119.302420165	2850108	2854140	2890690	399360	970
1781913119.408956938	3043968	3047436	3086633	425564	970
1781913119.516329361	3231336	3235308	3274648	450498	970
1781913119.623056259	3430236	3434208	3472317	476839	970
1781913119.732090547	3630024	3630024	3664564	502411	970
1781913119.842866657	3825276	3829752	3873329	530258	970
1781913119.954491992	4033632	4037604	4083401	558228	970
1781913120.066675024	4233924	4237896	4283385	584791	970
1781913120.181304779	4441656	4445124	4490528	612740	970
1781913120.296960354	4650012	4652976	4701325	640362	970
1781913120.418657261	4879116	4882584	4934713	671600	970
1781913120.538432006	5099268	5103240	5156980	700953	970
1781913120.657941154	5316576	5320548	5364093	728619	970
1781913120.776202670	5529288	5533260	5588573	758495	970
1781913120.897058029	5760852	5764824	5823030	789714	970
1781913121.021017617	5988624	5992152	6051300	820090	970
1781913121.143608625	6218352	6222384	6283228	850908	970
1781913121.268209090	6445620	6449592	6511003	881230	970
1781913121.389667560	6628748	6644580	6636441	929425	970
1781913121.513087424	6925220	6929972	6936230	1004382	970
1781913121.639603231	7228292	7233044	7241560	1081263	970
1781913121.769350932	7535588	7540340	7551908	1157463	970
1781913121.898767621	7660724	7660724	7656644	1157476	970
1781913122.034476658	7959260	7959260	7959599	1162551	974
1781913122.256461159	8213980	8213980	8311724	1169101	975
1781913122.578703361	8886252	8886252	8884836	1177610	976
1781913122.737243570	8891112	8891112	8889877	1178738	976
1781913122.952252499	8891112	8891112	8889876	1178738	976
1781913123.097067270	8891112	8891112	8889877	1178738	976
1781913123.265266706	8891112	8891112	8889876	1178738	976
1781913123.540928991	8891112	8891112	8889877	1178738	976
1781913123.796583732	8891112	8891112	8889877	1178738	976
1781913124.084564650	8891112	8891112	8889878	1178738	976
1781913124.250999173	8891112	8891112	8889873	1178738	976
1781913124.460607464	8891112	8891112	8889873	1178738	976
1781913124.598216426	8891112	8891112	8889877	1178738	976
1781913124.785214903	8891112	8891112	8889874	1178738	976
1781913124.938452558	8891112	8891112	8889876	1179118	976
1781913125.141210243	8892432	8892432	8891517	1179118	976
1781913125.297733940	8892432	8892432	8891516	1179118	976
1781913125.483166431	8892432	8892432	8891581	1179119	976
1781913125.646206957	8892432	8892432	8891578	1179119	976
1781913125.802868500	8892432	8892432	8891580	1179119	976
1781913126.012072561	8892432	8892432	8891581	1179119	976
1781913126.150219659	8892432	8892432	8891579	1179119	976
1781913126.302989719	8892432	8892432	8891576	1179119	976
1781913126.458584083	8892432	8892432	8891577	1179119	976
1781913126.630662882	8892432	8892432	8891579	1179119	976
1781913126.835144999	8892432	8892432	8891584	1179120	976
1781913126.968540697	8892432	8892432	8891580	1179120	976
1781913127.118536832	8892432	8892432	8891586	1179120	976
1781913127.296974188	8892432	8892432	8891585	1179120	976
1781913127.443453936	8892432	8892432	8891586	1179120	976
1781913127.627521775	8892432	8892432	8891583	1179120	976
1781913127.790383727	8892432	8892432	8891646	1179121	976
1781913127.977872942	8892432	8892432	8891644	1179121	976
1781913128.131672181	8892432	8892432	8891717	1179123	976
1781913128.352175694	8892432	8892432	8891718	1179123	976
1781913128.500879200	8892432	8892432	8891779	1179124	976
1781913128.651428757	8892432	8892432	8891777	1179124	976
1781913128.814879706	8892432	8892432	8891846	1179125	976
1781913129.000550293	8892432	8892432	8891846	1179125	976
1781913129.156930704	8892432	8892432	8891905	1179126	976
1781913129.336643168	8892432	8892432	8891905	1179126	976
1781913129.474163533	8892432	8892432	8891908	1179127	976
1781913129.630833878	8893116	8893116	8891973	1179127	976
1781913129.807980495	8893116	8893116	8891973	1179127	976
1781913129.945686026	8893116	8893116	8892036	1179128	976
1781913130.114259296	8893116	8893116	8892033	1179128	976
1781913130.248880084	8893116	8893116	8892101	1179129	976
1781913130.418309073	8893116	8893116	8892100	1179129	976
1781913130.558949811	8893116	8893116	8892098	1179129	976
1781913130.737141183	8893116	8893116	8892101	1179129	976
1781913130.890847990	8893116	8893116	8892098	1179129	976
1781913131.076558968	8893116	8893116	8892096	1179129	976
1781913131.214196996	8893116	8893116	8892100	1179129	976
1781913131.352161254	8893116	8893116	8892099	1179129	976
1781913131.522241924	8893116	8893116	8892097	1179129	976
1781913131.664701606	8893116	8893116	8892099	1179129	976
1781913131.829010680	8893116	8893116	8892100	1179129	976
1781913131.990752193	8893116	8893116	8892163	1179130	976
1781913132.156754618	8893116	8893116	8892164	1179130	976
1781913132.332257784	8893116	8893116	8892161	1179130	976
1781913132.501726428	8893116	8893116	8892165	1179130	976
1781913132.673240727	8893116	8893116	8892225	1179131	976
1781913132.833703656	8893116	8893116	8892229	1179131	976
1781913132.969893563	8893116	8893116	8892224	1179131	976
1781913133.164922491	8893116	8893116	8892229	1179131	976
1781913133.316604989	8893116	8893116	8892227	1179131	976
1781913133.495548399	8893116	8893116	8892230	1179131	976
1781913133.677654883	8893116	8893116	8892290	1179132	976
1781913133.862366756	8893116	8893116	8892291	1179132	976
1781913133.996679485	8893116	8893116	8892420	1179134	976
1781913134.181602125	8893116	8893116	8892421	1179134	976
1781913134.369277377	8893116	8893116	8892481	1179135	976
1781913134.533055233	8893116	8893116	8892482	1179135	976
1781913134.673547647	8893116	8893116	8892486	1179136	976
1781913134.825289251	8893116	8893116	8892550	1179136	976
1781913135.008063470	8893116	8893116	8892538	1179139	976
1781913135.170368205	7529456	8893992	4557652	1179139	976
1781913135.278165605	5483504	8893992	4557648	1179139	976
1781913135.387417373	2712088	8893992	78940	1179139	976
1781913135.475698204	338456	8893992	78942	1179139	976
1781913135.560449306	0	0	0	0	0
