ts	rss_kb	hwm_kb	pss_kb	minor	major
1781913140.167637656	16764	17292	15437	3078	0
1781913140.253806145	33544	37652	29195	9142	0
1781913140.333220247	40792	40792	36614	11153	0
1781913140.414873484	70360	70360	66863	18747	0
1781913140.496832071	79252	79252	74954	20508	0
1781913140.577888618	70352	79984	65831	21353	0
1781913140.663408178	70352	79984	65975	21389	0
1781913140.744269974	70352	79984	65976	21389	0
1781913140.831681624	71404	79984	68683	22163	0
1781913140.914657835	79588	79984	75292	23719	0
1781913140.995475583	210364	217864	228496	45563	0
1781913141.080862713	498604	506044	523919	85104	0
1781913141.174467756	836516	844964	869828	132199	0
1781913141.267223015	1157036	1164032	1196014	176026	0
1781913141.358545719	1495460	1502456	1536504	222579	0
1781913141.455673071	1846460	1853396	1880139	265898	0
1781913141.557105949	2146304	2153744	2182029	306152	0
1781913141.658043814	2315400	2323848	2343371	346873	0
1781913141.770929093	2515240	2522740	2543562	387348	0
1781913141.875763126	2782908	2790348	2809520	432253	0
1781913141.985971695	2998904	3002872	3015247	459316	0
1781913142.094582473	3195480	3199392	3212773	485632	0
1781913142.201122112	3402628	3407104	3421168	513432	0
1781913142.318092478	3553424	3557396	3573351	540988	0
1781913142.428867590	3759564	3763536	3780173	568767	0
1781913142.542248023	3971784	3975756	3993100	597477	0
1781913142.661584807	4134496	4138468	4168902	627424	0
1781913142.780262898	4361504	4364972	4384768	656279	0
1781913142.896939554	4578200	4581668	4602187	685135	0
1781913143.011565584	4740408	4744380	4771959	713882	0
1781913143.129201506	4909068	4913040	4935019	743174	0
1781913143.247400003	5044460	5071032	5075895	772537	0
1781913143.380318189	5158884	5162796	5190871	803836	0
1781913143.495085421	5256284	5276088	5287088	832422	0
1781913143.615122366	5383760	5395868	5414175	861100	0
1781913143.735429814	5489172	5493204	5518028	890885	0
1781913143.857179653	5603024	5606996	5632696	922156	0
1781913143.988266011	5747396	5750864	5774712	948891	0
1781913144.108705230	5817564	5821476	5851403	977933	0
1781913144.229703833	5918460	5925816	5949248	1008013	0
1781913144.353096215	6061796	6065768	6095262	1035190	0
1781913144.476210148	6161784	6165756	6195148	1067016	0
1781913144.606560653	6266180	6270656	6300755	1097372	0
1781913144.730612484	6411560	6415028	6436614	1121488	0
1781913144.852986540	6462252	6466284	6495128	1150531	0
1781913144.976189736	6571688	6575660	6605878	1181455	0
1781913145.103485488	6723500	6726968	6753160	1207786	0
1781913145.229394708	6791180	6795152	6827292	1237511	0
1781913145.356571631	7037880	7041912	7073848	1270419	0
1781913145.490777254	7269764	7273232	7303883	1299927	0
1781913145.614752225	7513928	7519208	7523364	1373362	0
