ts	rss_kb	hwm_kb	pss_kb	minor	major
1781928414.864685731	16376	20056	16432	5313	0
1781928414.949936235	30748	36176	26210	8741	0
1781928415.028429808	42016	42544	38676	11964	0
1781928415.107342305	73288	73816	69232	19418	0
1781928415.192566815	77776	77776	73271	20431	0
1781928415.277682653	69108	78424	64377	21323	0
1781928415.366215515	69108	78424	64519	21359	0
1781928415.450002990	69108	78424	64522	21359	0
1781928415.531493248	74120	78424	69607	22632	0
1781928415.611283978	78344	78424	73652	23643	0
1781928415.691489170	182540	191516	196635	55574	0
1781928415.781611755	377108	381860	391024	104134	0
1781928415.868652377	572996	578012	594144	155040	0
1781928415.957500837	772844	777596	788733	202366	0
1781928416.046874496	935468	940220	965959	247878	0
1781928416.140340562	1128452	1134120	1179399	288536	0
1781928416.322155744	1410100	1410100	1458198	293446	1
1781928416.572618594	1831408	1873840	1925720	300630	6
1781928416.905807541	2247916	2247916	2301589	306875	9
1781928417.229731644	2546988	2546988	2611287	312029	13
1781928417.499153809	2786288	2786288	2820951	315922	13
1781928417.717338277	2930288	2930288	3013654	318608	14
1781928417.921622808	3231292	3278900	3382041	325135	21
1781928418.244616488	3635380	3635380	3729550	330828	24
1781928418.564676079	3935408	3935408	3980688	335952	25
1781928418.820343774	4417392	4429620	4555289	344056	30
1781928419.246716608	4673328	4673328	4748696	347253	30
1781928419.428667932	4998768	4998768	5036056	351971	30
1781928419.672277536	5629008	5629008	5639942	361609	31
1781928419.967004055	5629008	5629008	5640009	361610	31
1781928420.248542424	5629008	5629008	5640009	361610	31
1781928420.689182893	5629008	5629008	5640010	361610	31
1781928420.956114036	5629008	5629008	5640009	361610	31
1781928421.184307092	5629008	5629008	5640006	361610	31
1781928421.325891583	5629008	5629008	5640012	361610	31
1781928421.576269121	5629008	5629008	5640012	361610	31
1781928421.781846023	5373492	5629008	5384486	361610	31
1781928421.968190253	5625132	5629008	5640011	365693	31
1781928422.102736684	5369612	5629008	5384493	365693	31
1781928422.257586092	5369612	5629008	5384482	365885	31
1781928422.393654760	5372388	5629008	5384493	369742	31
1781928422.609292569	5372388	5629008	5447628	371762	31
1781928422.741864994	5623908	5629008	5640011	373760	31
1781928422.891810155	5368388	5629008	5384485	373760	31
1781928423.050957356	5628264	5629008	5640009	377850	31
1781928423.199150817	5372744	5629008	5384553	377851	31
1781928423.401243321	5627612	5629008	5640074	381957	31
1781928423.629962421	5372092	5629008	5384554	381957	31
1781928423.789603922	5630636	5630636	5640077	386068	31
1781928423.918396609	5375116	5630636	5384553	386068	31
1781928424.162853982	5622512	5630636	5640076	390155	31
1781928424.277539211	5366992	5630636	5384620	390156	31
1781928424.431253524	5375364	5630884	5384681	394246	31
1781928424.758563990	5496672	5630884	5640204	398261	31
1781928424.965165070	5371780	5630884	5384747	398262	31
1781928425.132107448	5371780	5630884	5384746	398687	31
1781928425.255507199	5625764	5630884	5384743	402313	31
1781928425.429330735	5370244	5630884	5384744	402313	31
1781928425.570988993	5625500	5630884	5640267	406412	31
1781928425.708397972	5369980	5630884	5384747	406412	31
1781928425.849255069	5625888	5630884	5384745	410496	31
1781928426.183624158	5625380	5630884	5640264	414595	32
1781928426.479615547	5369860	5630884	5384803	414595	32
1781928426.618314455	5629732	5630884	5640332	418683	32
1781928426.830459144	5374212	5630884	5384804	418683	32
1781928427.011188991	5624996	5630884	5384811	422788	32
1781928427.210987039	5369476	5630884	5471564	424828	32
1781928427.409358628	5373828	5630884	5384875	426811	32
1781928427.586893465	5365764	5630884	5384937	432325	32
1781928428.076092918	5370120	5630884	5384942	434988	32
1781928428.298074965	5370120	5630884	5384942	434988	32
1781928428.434684486	5629932	5630884	5384942	439079	32
1781928428.633500099	5625704	5630884	5640521	443173	32
1781928428.868362775	5370184	5630884	5385003	443173	32
1781928429.050055265	5369480	5630884	5385068	447278	32
1781928429.355418847	5369480	5630884	5520654	450399	32
1781928429.521839586	5375560	5631080	5385132	451272	32
1781928429.750492913	5476936	5631080	5640651	455265	32
1781928429.928650491	5633192	5633192	5385135	455265	32
1781928430.187140787	5625128	5633192	5385136	459358	32
1781928430.471847527	5415816	5633192	5640710	463352	32
1781928430.650760485	5387484	5633192	4586468	463352	32
1781928430.798224570	1971604	5633192	75635	463353	32
1781928430.879691214	69108	5633192	75644	463353	32
