tag	rc	threads	fuse	pipeline	row_tile	ring	check	ppl	delta_vs_baseline	ffn_check_max_abs	ffn_check_max_rel	chunk_tail	tokens_per_second
baseline_fuse0_t6	0	6	0	-	-	-	-	46648.5435				/root/llama.cpp/rss-stage-results/moe-ffn-pipeline-debug-20260719-153344/logs/baseline_fuse0_t6.err:0.11.286.849 I perplexity: 7.10 seconds per pass - ETA 0.11.322.862 I Final estimate: PPL = 46648.5435 +/- 16004.30940	
fused_nonpipe_t6_rt128	0	6	1	0	128	-	-	46648.5435	0			/root/llama.cpp/rss-stage-results/moe-ffn-pipeline-debug-20260719-153344/logs/fused_nonpipe_t6_rt128.err:0.11.137.330 I perplexity: 6.99 seconds per pass - ETA 0.11.173.607 I Final estimate: PPL = 46648.5435 +/- 16004.30940	
pipeline_check_t6_rt16_r3	0	6	1	1	16	3	1	46648.5435	0			/root/llama.cpp/rss-stage-results/moe-ffn-pipeline-debug-20260719-153344/logs/pipeline_check_t6_rt16_r3.err:0.11.028.161 I perplexity: 6.98 seconds per pass - ETA 0.11.064.438 I Final estimate: PPL = 46648.5435 +/- 16004.30940	
pipeline_threads_t1_rt16_r3	0	1	1	1	16	3	1	46648.5435	0			/root/llama.cpp/rss-stage-results/moe-ffn-pipeline-debug-20260719-153344/logs/pipeline_threads_t1_rt16_r3.err:0.43.592.158 I perplexity: 39.03 seconds per pass - ETA 0.43.631.385 I Final estimate: PPL = 46648.5435 +/- 16004.30940	
pipeline_threads_t2_rt16_r3	0	2	1	1	16	3	1	46648.5435	0			/root/llama.cpp/rss-stage-results/moe-ffn-pipeline-debug-20260719-153344/logs/pipeline_threads_t2_rt16_r3.err:0.23.819.242 I perplexity: 19.56 seconds per pass - ETA 0.23.858.480 I Final estimate: PPL = 46648.5435 +/- 16004.30940	
pipeline_threads_t6_rt16_r3	0	6	1	1	16	3	1	46648.5435	0			/root/llama.cpp/rss-stage-results/moe-ffn-pipeline-debug-20260719-153344/logs/pipeline_threads_t6_rt16_r3.err:0.11.071.636 I perplexity: 6.98 seconds per pass - ETA 0.11.112.105 I Final estimate: PPL = 46648.5435 +/- 16004.30940	
pipeline_rowtile_t6_rt1_r3	0	6	1	1	1	3	1	46648.5435	0			/root/llama.cpp/rss-stage-results/moe-ffn-pipeline-debug-20260719-153344/logs/pipeline_rowtile_t6_rt1_r3.err:0.11.068.118 I perplexity: 6.99 seconds per pass - ETA 0.11.105.314 I Final estimate: PPL = 46648.5435 +/- 16004.30940	
pipeline_rowtile_t6_rt16_r3	0	6	1	1	16	3	1	46648.5435	0			/root/llama.cpp/rss-stage-results/moe-ffn-pipeline-debug-20260719-153344/logs/pipeline_rowtile_t6_rt16_r3.err:0.11.104.385 I perplexity: 6.99 seconds per pass - ETA 0.11.140.966 I Final estimate: PPL = 46648.5435 +/- 16004.30940	
pipeline_ring_t6_rt16_r1	0	6	1	1	16	1	1	46648.5435	0			/root/llama.cpp/rss-stage-results/moe-ffn-pipeline-debug-20260719-153344/logs/pipeline_ring_t6_rt16_r1.err:0.11.115.435 I perplexity: 6.99 seconds per pass - ETA 0.11.152.108 I Final estimate: PPL = 46648.5435 +/- 16004.30940	
pipeline_ring_t6_rt16_r3	0	6	1	1	16	3	1	46648.5435	0			/root/llama.cpp/rss-stage-results/moe-ffn-pipeline-debug-20260719-153344/logs/pipeline_ring_t6_rt16_r3.err:0.11.093.801 I perplexity: 6.98 seconds per pass - ETA 0.11.130.747 I Final estimate: PPL = 46648.5435 +/- 16004.30940	
