group	tag	run	rc	budget_mb	workers	threads	cooldown_tokens	pinned_fraction	peak_mb	elapsed_s	max_rss_kb	vol_cs	invol_cs	pp_tps	tg_tps	streams	hits	evictions	resident_mib	sidecar_read_mib	sidecar_read_count	moe_total_us	cache_lookup_us	victim_select_us	sidecar_submit_us	sidecar_wait_us	sidecar_read_us	q2_unpack_us	cache_hit	cache_miss	prefetch_hit	prefetch_late	prefetch_unused	reload_1tok	reload_4tok	thrash_4tok_per_evict
pinned	p0mb	1	0	1024	1	6	0	0.000000	1133	0:10.90	2145452	8882	358	15.98	8.17	4503	23073	3762	1022.9	6215.811	4503	3323466	2	282317	0	0	3001751	0	16416	4503	0	0	0	930	1716	0.456140
pinned	p0mb	2	0	1024	1	6	0	0.000000	1133	0:10.85	2149196	8275	293	17.02	8.27	4503	23073	3762	1022.9	6215.811	4503	3313706	4	255348	0	0	3024398	0	16416	4503	0	0	0	930	1716	0.456140
pinned	p0mb	3	0	1024	1	6	0	0.000000	1133	0:10.95	2148908	8236	147	16.82	8.17	4503	23073	3762	1022.9	6215.811	4503	3373551	14	283849	0	0	3051369	0	16416	4503	0	0	0	930	1716	0.456140
pinned	p128mb	1	0	1024	1	6	0	0.125000	1132	0:10.92	2150316	7998	213	17.11	8.16	4500	23076	3759	1022.9	6211.670	4500	3320099	0	263801	0	0	3018071	0	16419	4500	0	0	0	927	1713	0.455706
pinned	p128mb	2	0	1024	1	6	0	0.125000	1133	0:10.86	2149480	9021	173	17.11	8.20	4500	23076	3759	1022.9	6211.670	4500	3288986	18	261684	0	0	2990144	0	16419	4500	0	0	0	927	1713	0.455706
pinned	p128mb	3	0	1024	1	6	0	0.125000	1133	0:10.78	2149300	8332	174	17.21	8.25	4500	23076	3759	1022.9	6211.670	4500	3268080	6	248203	0	0	2986155	0	16419	4500	0	0	0	927	1713	0.455706
pinned	p256mb	1	0	1024	1	6	0	0.250000	1133	0:10.68	2149892	8414	192	17.45	8.29	4500	23076	3759	1022.9	6211.670	4500	3209581	15	241873	0	0	2931847	0	16419	4500	0	0	0	927	1713	0.455706
pinned	p256mb	2	0	1024	1	6	0	0.250000	1133	0:10.75	2145688	7853	241	17.16	8.29	4500	23076	3759	1022.9	6211.670	4500	3216848	9	241321	0	0	2940611	0	16419	4500	0	0	0	927	1713	0.455706
pinned	p256mb	3	0	1024	1	6	0	0.250000	1133	0:10.79	2149816	8622	193	17.28	8.23	4500	23076	3759	1022.9	6211.670	4500	3233875	0	241603	0	0	2958393	0	16419	4500	0	0	0	927	1713	0.455706
pinned	p356mb	1	0	1024	1	6	0	0.347656	1133	0:10.71	2149804	8183	224	17.49	8.28	4500	23076	3759	1022.9	6211.670	4500	3222304	14	241844	0	0	2946131	0	16419	4500	0	0	0	927	1713	0.455706
pinned	p356mb	2	0	1024	1	6	0	0.347656	1133	0:10.95	2149860	8180	352	17.17	8.16	4500	23076	3759	1022.9	6211.670	4500	3378640	1	263003	0	0	3077364	0	16419	4500	0	0	0	927	1713	0.455706
pinned	p356mb	3	0	1024	1	6	0	0.347656	1133	0:10.94	2145624	8569	142	16.97	8.17	4500	23076	3759	1022.9	6211.670	4500	3312573	0	261617	0	0	3013245	0	16419	4500	0	0	0	927	1713	0.455706
