ts	rss_kb	hwm_kb	pss_kb	minor	major
1781915395.777427257	17052	20220	12282	4373	0
1781915395.863965769	30856	36344	26365	8737	0
1781915395.951983692	44296	44824	43094	12860	0
1781915396.033973042	74044	74044	69513	19419	0
1781915396.115922509	78004	78004	73589	20440	0
1781915396.201076236	69312	78744	64633	21324	0
1781915396.282998905	69312	78744	64775	21360	0
1781915396.378668137	69312	78744	64778	21360	0
1781915396.458098197	74324	78744	69862	22632	0
1781915396.540618971	78812	78812	78325	25947	0
1781915396.622821427	258656	263672	271280	74584	0
1781915396.705751427	446360	451112	465033	122232	0
1781915396.791052353	633536	637760	654438	169919	0
1781915396.877255609	830744	834968	837268	215207	0
1781915396.967340490	1036400	1040888	1072637	274418	0
1781915397.101037566	1265720	1265720	1285872	290570	0
1781915397.289423244	1615296	1647932	1671386	298654	4
1781915397.708721075	1803704	1812028	1842519	302512	7
1781915397.889061956	1911896	1923176	2000632	306484	10
1781915398.129125172	2420260	2494040	2631546	317005	19
1781915398.662068735	3025700	3081240	3215355	326751	24
1781915399.214723014	3475992	3475992	3534267	331792	26
1781915399.480711912	3951640	3951640	4085498	340634	29
1781915399.905238047	4247836	4247836	4373690	345384	33
1781915400.172635473	4550292	4550292	4652278	350927	37
1781915400.468500250	4842268	4842268	4963410	361624	38
1781915400.625043210	5631844	5631844	5640143	369906	38
1781915400.973134763	5625296	5631844	5640203	374029	38
1781915401.166692900	5371696	5631844	5384684	377655	38
1781915401.393171436	5624780	5631844	5640206	378161	38
1781915401.529761443	5624780	5631844	5640206	378161	38
1781915401.686390547	5633644	5633644	5640205	382302	38
1781915401.857069921	5633644	5633644	5527083	386367	38
1781915402.115444340	5625352	5633644	5640206	386367	38
1781915402.350062966	5449036	5633644	5618570	390360	38
1781915402.490612592	5630572	5633644	5640206	390360	38
1781915402.639176819	5392012	5633644	5640205	394465	38
1781915402.902359360	5630156	5633644	5640205	394465	38
1781915403.088022682	5624432	5633644	5640205	398604	38
1781915403.429132330	5624336	5633644	5640206	402740	38
1781915403.683256767	5627696	5633644	5640205	406874	38
1781915404.039183580	5375884	5633644	5384750	410975	39
1781915404.228844517	5626472	5633644	5640266	410975	39
1781915404.387789436	5626472	5633644	5640268	410975	39
1781915404.539324353	5628428	5633644	5640269	415129	39
1781915404.747421588	5628428	5633644	5640269	415129	39
1781915404.913640929	5623952	5633644	5640269	419279	39
1781915405.090135419	5623952	5633644	5640269	419279	39
1781915405.273319002	5628524	5633644	5640333	423396	39
1781915405.395574830	5628524	5633644	5640334	423396	39
1781915405.576100435	5398284	5633644	5640396	427529	39
1781915405.801718542	5627140	5633644	5640461	431670	39
1781915406.094600074	5627140	5633644	5640460	431670	39
1781915406.222368412	5373288	5633644	5384938	433357	39
1781915406.409352234	5625636	5633644	5640462	435746	39
1781915406.636659342	5621388	5633644	5640462	439895	39
1781915406.872980170	5369868	5633644	5424494	442578	39
1781915407.118180664	5621904	5633644	5640460	443907	40
1781915407.385938509	5630604	5633644	5640527	448047	40
1781915407.576650470	5630604	5633644	5640523	448047	40
1781915407.717149226	5630156	5633644	5640523	452189	40
1781915407.927484668	5630156	5633644	5640523	452189	40
1781915408.141257562	5632460	5633644	5640521	456339	40
1781915408.342311593	5632460	5633644	5640525	456340	40
1781915408.519494105	5631500	5633644	5640590	460495	40
1781915408.781311273	5629064	5633644	5640654	464630	40
1781915409.069344198	5629064	5633644	5640650	464630	40
1781915409.206597452	5628684	5633644	5640652	468785	40
1781915409.370671319	5628684	5633644	5640651	468786	40
1781915409.627921852	5621704	5633644	5640718	472911	40
1781915409.904682895	5626768	5633644	5509099	479393	43
1781915410.352182306	5629772	5633644	5640783	481148	43
1781915410.528098814	5634376	5634376	5640842	485271	43
1781915410.872066300	5517288	5634376	5640843	489367	43
1781915411.101735393	5630572	5634376	5640847	489367	43
1781915411.249068944	5630572	5634376	5640844	489367	43
1781915411.427966023	5627024	5634376	5640906	493503	43
1781915411.778529602	4406328	5634376	75825	493503	43
1781915411.861437898	729756	5634376	75829	493503	43
1781915411.941575992	1024	1024	242	0	0
