ts	rss_kb	hwm_kb	pss_kb	minor	major
1781915453.835531526	16364	20040	18935	5306	0
1781915453.921121870	30676	36164	26440	8802	0
1781915454.004010490	44320	46168	43104	12852	0
1781915454.087520424	73804	73804	69520	19411	0
1781915454.183838894	78028	78028	73599	20435	0
1781915454.265900455	68892	78396	64474	21318	0
1781915454.349659459	68892	78396	64605	21350	0
1781915454.433902233	68892	78396	64603	21350	0
1781915454.515784263	73904	78396	69694	22622	0
1781915454.601522370	78128	78396	74106	23785	0
1781915454.682521259	226352	229520	235668	65307	0
1781915454.762716403	403496	406400	419926	112534	0
1781915454.850105389	607568	612320	629466	163834	0
1781915454.937527007	804248	809000	840429	215278	0
1781915455.040485553	1024160	1029440	1056834	270686	0
1781915455.166617452	1388032	1415424	1416767	294620	3
1781915455.552436137	1493528	1523148	1546814	297610	6
1781915455.731508423	1676484	1676484	1767804	300977	10
1781915455.928952645	1820116	1908688	1848408	303958	12
1781915456.095061720	2080064	2112628	2288798	311614	22
1781915456.512702084	2409824	2413856	2461461	314557	22
1781915456.736653766	2784996	2784996	2812510	320458	25
1781915457.036535130	2948836	2952676	3006740	324234	28
1781915457.261402942	3466876	3491872	3564438	333477	39
1781915457.745186312	3729636	3733352	3803999	337509	43
1781915457.963423176	3885152	3896872	3918814	339416	45
1781915458.097136616	4041128	4057576	4126292	343585	48
1781915458.341453422	4632100	4635304	4731032	353499	57
1781915458.843537894	5120556	5368716	5264624	367959	62
1781915459.063888786	5626748	5626748	5606385	376284	63
1781915459.599086402	5627668	5627668	5384531	380339	64
1781915459.885007519	5626708	5627668	5640041	380339	64
1781915460.203007603	5625564	5627668	5640048	384411	65
1781915460.485794551	5628660	5628660	5640050	388506	65
1781915460.912596084	5376784	5628660	5473233	392536	65
1781915461.093132314	5631864	5631864	5640050	392536	65
1781915461.345953642	5629908	5631864	5640050	396598	66
1781915461.563565318	5629908	5631864	5640043	396598	66
1781915461.793907529	5633240	5633240	5640051	400682	67
1781915462.035571518	5611976	5633240	5640049	404750	69
1781915462.350342600	5622552	5633240	5640051	404750	69
1781915462.596119448	5370744	5633240	5384531	405219	69
1781915462.728675047	5629424	5633240	5640048	408791	69
1781915462.966657215	5629424	5633240	5640106	412881	69
1781915463.291070610	5627672	5633240	5640116	412881	69
1781915463.541203515	5627588	5633240	5640115	417013	70
1781915463.849198313	5628632	5633240	5640115	421091	70
1781915464.045925418	5628632	5633240	5640113	421091	70
1781915464.283197233	5609696	5633240	5640178	425181	70
1781915464.462040946	5626592	5633240	5640239	425183	70
1781915464.787862018	5627928	5633240	5640296	429290	71
1781915464.945858417	5372472	5633240	5384850	431810	71
1781915465.232122782	5624916	5633240	5640369	433367	71
1781915465.471485779	5624916	5633240	5384843	437485	71
1781915465.705713545	5627876	5633240	5640367	437485	71
1781915465.869114042	5627876	5633240	5504679	437485	71
1781915466.079738573	5625112	5633240	5640363	441584	72
1781915466.278580333	5372216	5633240	5608178	445577	72
1781915466.565284536	5629656	5633240	5531729	449453	72
1781915466.947917099	5625528	5633240	5640434	449608	72
1781915467.183373370	5372760	5633240	5384914	450037	72
1781915467.358114347	5622752	5633240	5640434	453727	72
1781915467.506363661	5622752	5633240	5640425	453727	72
1781915467.673382131	5391512	5633240	5640435	457744	73
1781915467.865417636	5626392	5633240	5640434	457744	73
1781915468.037640303	5623800	5633240	5640499	461804	73
1781915468.407172854	5623800	5633240	5640497	461805	73
1781915468.625985835	5630420	5633240	5640561	465898	73
1781915468.808982571	5578644	5633240	5640551	469994	74
1781915469.146984278	5626520	5633240	5640563	469994	74
1781915469.345981337	5373432	5633240	5385108	472342	74
1781915469.533867395	5630356	5633240	5640626	473993	74
1781915469.748442022	5630356	5633240	5601831	477618	75
1781915470.010903814	5633108	5633240	5640618	478095	75
1781915470.149409888	5633108	5633240	5640626	478095	75
1781915470.283444754	5633108	5633240	5640624	478096	75
1781915470.425735797	5629024	5633240	5640690	482218	76
1781915470.639680488	5629024	5633240	5640685	482218	76
1781915470.838323467	5545820	5633240	5640748	486283	76
1781915470.979512928	5630264	5633240	5640755	488831	76
1781915471.358894841	5624796	5633240	5640753	490394	79
1781915471.544312326	5373180	5633240	5530254	494415	79
1781915471.800698346	5633080	5633240	5640819	494415	79
1781915472.017995220	5411808	5633240	4586579	494415	79
1781915472.181533419	3302560	5633240	75740	494415	79
1781915472.266143752	68992	5633240	75735	494415	79
1781915472.349816702	992	992	241	0	0
