ts	rss_kb	hwm_kb	pss_kb	minor	major
1781915431.022022683	15384	15384	12135	2990	0
1781915431.108302760	32092	36260	27742	9053	0
1781915431.191217587	44944	47584	43110	12851	0
1781915431.280885710	73900	73900	69516	19409	0
1781915431.367970837	77860	77860	73598	20431	0
1781915431.451257826	68800	78492	64280	21271	0
1781915431.534856692	68800	78492	64426	21301	0
1781915431.618564253	68800	78492	64427	21301	0
1781915431.701862809	74076	78492	69699	22621	0
1781915431.784801645	78036	78492	73771	23638	0
1781915431.864686115	193488	196956	200525	41093	0
1781915431.949898565	346176	350088	355374	61812	0
1781915432.037609568	502272	505740	514650	83084	0
1781915432.131175039	656472	657480	660871	102334	0
1781915432.222660846	806640	810612	822877	124018	0
1781915432.313629091	971568	975540	990189	146314	0
1781915432.403825495	1137624	1154016	1181800	172220	0
1781915432.511843198	1337916	1341444	1360606	195659	0
1781915432.607664245	1505484	1508952	1530778	218516	0
1781915432.700413267	1675956	1679424	1703149	241436	0
1781915432.795157027	1829472	1832496	1856870	261788	0
1781915432.889398724	2004036	2007504	2034121	285412	0
1781915432.988363571	2172108	2172612	2195692	306874	0
1781915433.089074297	2347500	2350968	2381037	331564	0
1781915433.191142038	2531340	2534808	2566504	356272	0
1781915433.292808923	2718324	2721792	2754874	381344	0
1781915433.396696585	2907648	2910612	2945624	406747	0
1781915433.501558604	3096084	3096084	3126501	431044	0
1781915433.608766596	3279480	3282948	3321644	457091	0
1781915433.716279075	3471384	3471384	3504433	482223	0
1781915433.832030147	3660768	3660768	3691716	506077	0
1781915433.943552939	3846060	3849084	3867305	528850	0
1781915434.052563203	4014696	4018668	4061587	557074	0
1781915434.178796047	4233336	4237308	4281615	584585	0
1781915434.292798483	4439616	4443588	4506933	616579	0
1781915434.422891008	4679808	4683276	4731616	644577	0
1781915434.537853867	4891956	4895928	4944969	672950	0
1781915434.654660723	5110152	5114124	5185078	705048	0
1781915434.782655495	5326452	5332944	5384378	731333	0
1781915434.897268115	5541624	5545092	5598625	759890	0
1781915435.014469698	5755848	5759316	5813795	788339	0
1781915435.134585787	5972148	5975616	6029984	817508	0
1781915435.256227269	6190020	6193488	6250836	846652	0
1781915435.376006417	6397308	6400776	6459584	874428	0
1781915435.496576762	6619092	6622560	6638420	895242	0
1781915435.619260949	6761224	6765448	6769129	962543	0
1781915435.742700922	7053736	7056376	7062754	1039075	0
1781915435.872406064	7356280	7361032	7370363	1113274	0
1781915435.999091927	7647736	7647736	7654813	1157389	0
1781915436.133341866	7709064	7709064	7716318	1160455	0
1781915436.353637305	7852076	7852076	7863907	1162001	0
1781915436.560166730	7952300	7952300	7967838	1164393	0
1781915437.084303612	8052140	8052140	8115424	1165983	0
1781915437.468340614	8202092	8202092	8266334	1168427	0
1781915437.994263978	8360872	8360872	8467555	1178385	2
1781915438.293715839	8867968	8867968	8888787	1178385	2
1781915438.540309786	8867968	8867968	8888847	1178386	2
1781915438.743701997	8867968	8867968	8888852	1178386	2
1781915439.113368424	8867968	8867968	8888850	1178386	2
1781915439.472710686	8867968	8867968	8888856	1178386	2
1781915439.916740742	8867968	8867968	8888850	1178386	2
1781915440.079076285	8867968	8867968	8888850	1178386	2
1781915440.333595116	8867968	8867968	8888854	1178386	2
1781915440.602798008	8867968	8867968	8888853	1178386	2
1781915440.775365908	8867968	8867968	8888845	1178386	2
1781915441.017526774	8867968	8867968	8888849	1178386	2
1781915441.379676006	8867968	8867968	8888914	1178387	2
1781915441.807177919	8867968	8867968	8888913	1178387	2
1781915442.024479286	8867968	8867968	8888917	1178387	2
1781915442.171180889	8867968	8867968	8888917	1178387	2
1781915442.400675778	8867968	8867968	8888919	1178388	2
1781915442.667367164	8867968	8867968	8888979	1178388	2
1781915442.873043357	8867968	8867968	8889107	1178390	2
1781915443.070394321	8867968	8867968	8889101	1178390	2
1781915443.216704060	8867968	8867968	8889170	1178391	2
1781915443.405930286	8867968	8867968	8889170	1178391	2
1781915443.720133650	8867968	8867968	8889177	1178391	2
1781915443.900382672	8867968	8867968	8889171	1178391	2
1781915444.227316804	8867968	8867968	8889172	1178391	2
1781915444.482590349	8867968	8867968	8889165	1178391	2
1781915444.620899916	8867968	8867968	8889234	1178392	2
1781915444.832107379	8867968	8867968	8889235	1178392	2
1781915445.202372539	8867968	8867968	8889234	1178392	2
1781915445.439957973	8867968	8867968	8889237	1178392	2
1781915445.628746024	8867968	8867968	8889305	1178393	2
1781915445.986201659	8867968	8867968	8889362	1178394	2
1781915446.253197113	8867968	8867968	8889363	1178394	2
1781915446.421226223	8867968	8867968	8889362	1178394	2
1781915446.650023991	8867968	8867968	8889429	1178395	2
1781915446.937623137	8867968	8867968	8889428	1178395	2
1781915447.222126401	8867968	8867968	8889430	1178395	2
1781915447.413426015	8867968	8867968	8889490	1178396	2
1781915447.598299442	8867968	8867968	8889491	1178397	2
1781915447.813529212	8867968	8867968	8889551	1178397	2
1781915447.967926712	8867968	8867968	8889555	1178397	2
1781915448.198000010	8867968	8867968	8889558	1178397	2
1781915448.391856127	8867968	8867968	8889556	1178398	2
1781915448.565768340	8867968	8867968	8889621	1178398	2
1781915448.778867370	8722300	8867968	7835379	1178398	2
1781915448.943708804	6615336	8867968	4554478	1178398	2
1781915449.055976322	4113956	8867968	75894	1178398	2
1781915449.134971260	153492	8867968	75890	1178398	2
1781915449.213581645	1060	1060	0	0	0
