ts	rss_kb	hwm_kb	pss_kb	minor	major
1781915626.022380887	16140	19836	18322	5306	0
1781915626.113459951	30512	35940	26233	8731	0
1781915626.193898276	41252	41780	38165	11815	0
1781915626.275389251	68708	69500	66053	19296	0
1781915626.365716944	77600	77600	73368	20424	0
1781915626.447805733	69168	78296	64697	21326	0
1781915626.533831611	69168	78296	64835	21361	0
1781915626.616850707	69168	78296	64836	21361	0
1781915626.697360462	69168	78296	64841	21461	0
1781915626.777268129	74180	78296	73920	23632	0
1781915626.856969707	126044	130532	134329	39959	0
1781915626.940234334	310316	315068	324200	87505	0
1781915627.025699359	506996	512012	527400	138278	0
1781915627.111725956	729548	766772	802320	207116	0
1781915627.234179092	990908	995660	1024289	262594	0
1781915627.333593137	1160748	1160748	1215719	289508	0
1781915627.509055095	1416908	1416908	1458268	293349	4
1781915627.717178958	1610636	1664784	1696279	296645	4
1781915627.897222851	1850700	1850700	1932379	300713	5
1781915628.129254109	2005204	2005204	2057882	302791	5
1781915628.266782973	2228424	2228424	2288219	306769	8
1781915628.500629107	2536524	2536524	2566811	311630	12
1781915628.761179224	2691152	2691152	2762843	314994	15
1781915628.962702845	2931472	2931472	2966238	318359	19
1781915629.141126794	3048148	3048148	3174868	322735	25
1781915629.412527841	3556680	3590792	3740254	331616	31
1781915629.884642093	4006460	4006460	4054552	336934	34
1781915630.191886893	4380380	4404628	4526805	345151	44
1781915630.649058670	4886672	4886672	4971549	352712	49
1781915631.044649285	5627048	5627048	5640014	363496	58
1781915631.352684317	5627048	5627048	5640008	363496	58
1781915631.524375769	5627048	5627048	5640079	363497	58
1781915631.754065234	5627048	5627048	5640080	363497	58
1781915632.147873269	5627048	5627048	5640079	363497	58
1781915632.304570808	5627048	5627048	5640076	363497	58
1781915632.477153783	5627048	5627048	5640081	363497	58
1781915632.637396152	5627048	5627048	5640075	363497	58
1781915632.859381855	5627048	5627048	5640073	363497	58
1781915633.093906972	5627048	5627048	5640078	363497	58
1781915633.273044685	5627048	5627048	5640078	363497	58
1781915633.483260601	5627048	5627048	5640077	363497	58
1781915633.634832250	5627048	5627048	5640081	363497	58
1781915633.785513499	5627048	5627048	5640082	363497	58
1781915633.916899813	5627048	5627048	5640078	363497	58
1781915634.163865307	5627048	5627048	5640079	363497	58
1781915634.390076613	5627048	5627048	5640076	363497	58
1781915634.608781276	5627048	5627048	5640076	363497	58
1781915634.824718614	5627048	5627048	5640079	363497	58
1781915635.173146120	5627048	5627048	5640078	363497	58
1781915635.320774202	5627048	5627048	5640142	363498	58
1781915635.657163002	5627048	5627048	5640142	363498	58
1781915636.025378355	5627048	5627048	5640140	363498	58
1781915636.225741336	5627048	5627048	5640143	363498	58
1781915636.377871049	5627048	5627048	5640140	363499	58
1781915636.585636763	5627048	5627048	5640206	363499	58
1781915636.869261586	5627048	5627048	5640272	363500	58
1781915637.174945160	5627048	5627048	5640270	363500	58
1781915637.319600415	5627048	5627048	5640335	363501	58
1781915637.567049346	5627048	5627048	5640332	363501	58
1781915637.785535949	5627048	5627048	5640333	363501	58
1781915638.129902149	5627048	5627048	5640335	363501	58
1781915638.330914750	5627048	5627048	5640337	363501	58
1781915638.492746864	5627048	5627048	5640332	363501	58
1781915638.759278034	5627048	5627048	5640329	363502	58
1781915639.015926434	5627048	5627048	5640399	363502	58
1781915639.221521232	5627048	5627048	5640398	363502	58
1781915639.469105263	5627048	5627048	5640398	363502	58
1781915639.721258870	5627048	5627048	5640399	363502	58
1781915639.931355212	5627048	5627048	5640397	363502	58
1781915640.141266588	5627048	5627048	5640455	363503	58
1781915640.476644617	5627048	5627048	5640525	363504	58
1781915640.710662586	5627048	5627048	5640525	363504	58
1781915640.855480378	5627048	5627048	5640530	363504	58
1781915641.086390416	5627048	5627048	5640529	363504	58
1781915641.364968477	5627048	5627048	5640591	363505	58
1781915641.546971869	5627048	5627048	5640591	363505	58
1781915641.708745344	5627048	5627048	5640589	363505	58
1781915641.992030805	5627048	5627048	5640591	363505	58
1781915642.129608583	5627048	5627048	5640590	363506	58
1781915642.385131404	5627048	5627048	5640654	363506	58
1781915642.700191650	5627048	5627048	5640719	363507	58
1781915643.106019329	5627048	5627048	5640719	363507	58
1781915643.283537017	5627048	5627048	5640720	363507	58
1781915643.467019698	5627048	5627048	5640711	363508	58
1781915643.639004715	5627048	5627048	5640780	363508	58
1781915643.764994992	5627048	5631148	5640847	363509	58
1781915644.054582769	5631148	5631148	5640846	363509	58
1781915644.269863855	5631148	5631148	5640912	363510	58
1781915644.468784311	5631148	5631148	5640913	363510	58
1781915644.669366807	5631148	5631148	5640913	363510	58
1781915644.974020256	5631148	5631148	5640910	363510	58
1781915645.217805948	5631148	5631148	5640911	363510	58
1781915645.434556288	5631148	5631148	5640912	363510	58
1781915645.576680445	5631148	5631148	5640975	363512	58
1781915646.117064308	5631148	5631148	5641040	363512	58
1781915646.356121540	5631148	5631148	5641040	363512	58
1781915646.577072162	5631148	5631148	5641034	363512	58
1781915646.775670245	5631148	5631148	5641039	363512	58
1781915647.048717848	5631148	5631148	5641039	363512	58
1781915647.216835879	5631148	5631148	5641040	363512	58
1781915647.602636141	5631148	5631148	5641170	363514	58
1781915647.887744691	5631148	5631148	5641168	363514	58
1781915648.279509390	5631148	5631148	5641167	363515	58
1781915648.512749681	5631148	5631148	5641229	363515	58
1781915648.666194852	5631148	5631148	5641229	363515	58
1781915648.912539883	5631148	5631148	5641233	363515	58
1781915649.145297675	5631148	5631148	5641297	363516	58
1781915649.428450135	5631148	5631148	5641357	363517	58
1781915649.750966151	5631148	5631148	5641362	363517	58
1781915650.146174698	5631148	5631148	5641359	363517	58
1781915650.384337396	5631148	5631148	5641359	363517	58
1781915650.581171246	5631148	5631148	5641361	363517	58
1781915650.754833105	5631148	5631148	5641359	363517	58
1781915651.022059743	5631148	5631148	5641354	363517	58
1781915651.214601547	5631148	5631148	5641352	363517	58
1781915651.408479296	5631148	5631148	5641358	363518	58
1781915651.700409123	5631148	5631148	5641424	363518	58
1781915651.866797349	5631148	5631148	5641424	363518	58
1781915652.115797466	5631148	5631148	5641420	363518	58
1781915652.329449551	5631148	5631148	5641423	363518	58
1781915652.481276590	5631148	5631148	5641487	363519	58
1781915652.700000321	5631148	5631148	5641486	363519	58
1781915652.877014835	5631148	5631148	5641486	363519	58
