ts	rss_kb	hwm_kb	pss_kb	minor	major
1781915523.052662768	15212	15212	10838	1787	0
1781915523.128093346	30696	36064	26269	8731	0
1781915523.208403549	39588	39588	35040	10879	0
1781915523.286208366	62820	63612	59914	17275	0
1781915523.371529042	73824	73824	69352	20418	0
1781915523.452276911	69200	78432	64580	21318	0
1781915523.534689610	69200	78432	64714	21354	0
1781915523.618205742	69200	78432	64726	21354	0
1781915523.702622160	71836	78432	68712	22533	0
1781915523.794716822	78436	78436	73838	23634	0
1781915523.878977391	158488	163240	167832	48405	0
1781915523.960317955	344344	349360	359260	96548	0
1781915524.045795149	543136	549208	565552	147870	0
1781915524.132589940	772816	786544	837267	215422	0
1781915524.253611812	1017808	1022560	1048534	268610	0
1781915524.364565585	1445016	1479520	1425987	294906	2
1781915524.776074136	1532576	1532576	1578879	297934	3
1781915524.941129356	1782180	1782180	1863681	302661	6
1781915525.191585521	2159008	2159008	2183873	307188	7
1781915525.437123503	2606176	2658332	2691132	315642	9
1781915525.866038069	2902752	2902752	2934332	320032	11
1781915526.115983199	3118052	3146728	3228222	324524	13
1781915526.376968417	3416736	3416736	3456195	328204	15
1781915526.569282647	3624604	3640288	3663296	331631	16
1781915526.775798689	3873188	3877412	3909499	335624	16
1781915527.000623757	4041696	4041696	4126275	339280	19
1781915527.201197697	4235164	4235164	4296644	342000	19
1781915527.359228204	4412516	4416612	4459132	345061	21
1781915527.580624918	4859304	4936224	5387565	366000	22
1781915528.016343248	5631632	5631632	5639989	366000	22
1781915528.274590745	5627472	5631632	5640050	370398	22
1781915528.685632682	5624912	5631632	5640044	370398	22
1781915528.910808605	5629332	5631632	5640044	372610	22
1781915529.129919396	5629332	5631632	5640049	372610	22
1781915529.343617398	5628244	5631632	5640048	374794	22
1781915529.571133918	5634064	5634064	5640053	376978	22
1781915529.933168556	5567568	5634064	5640053	379098	22
1781915530.105411743	5626704	5634064	5640049	379098	22
1781915530.312249952	5625552	5634064	5640056	381281	22
1781915530.498100219	5625552	5634064	5640048	381281	22
1781915530.625157508	5626192	5634064	5640047	383478	22
1781915530.884174958	5626192	5634064	5640052	383478	22
1781915531.105682069	5628176	5634064	5640050	385682	22
1781915531.241844474	5628176	5634064	5640048	385682	22
1781915531.388582133	5560464	5634064	5640111	387809	22
1781915531.548659877	5627984	5634064	5640118	387809	22
1781915531.683449219	5631240	5634064	5640114	390005	22
1781915531.911038940	5631240	5634064	5640114	390005	22
1781915532.033191395	5631240	5634064	5640117	390005	22
1781915532.214282762	5628240	5634064	5640119	392189	23
1781915532.458089419	5626700	5634064	5640174	394385	23
1781915532.672313875	5626700	5634064	5640177	394401	23
1781915532.939848565	5627664	5634064	5640247	396568	23
1781915533.108442630	5624020	5634064	5640303	398765	23
1781915533.487961388	5629968	5634064	5640308	400957	23
1781915533.892773718	5631316	5634064	5640309	405305	23
1781915534.339756038	5628696	5634064	5640307	405305	23
1781915534.520179335	5493592	5634064	5629495	407426	23
1781915534.700850508	5632464	5634064	5640374	407426	23
1781915534.858086255	5632464	5634064	5640371	407426	23
1781915534.994551282	5627788	5634064	5504690	409608	23
1781915535.332768813	5625936	5634064	5640372	411803	23
1781915535.617293480	5541968	5634064	5640431	413933	23
1781915535.784992026	5625744	5634064	5640428	413933	23
1781915535.995760404	5491984	5634064	5640500	416119	24
1781915536.239681183	5635600	5635600	5640501	416119	24
1781915536.399649641	5635600	5635600	5640497	416119	24
1781915536.547805937	5631968	5635600	5640490	418305	25
1781915536.776828996	5631968	5635600	5640500	418305	25
1781915536.917722329	5631968	5635600	5640500	418306	25
1781915537.047641924	5637264	5637264	5640562	420481	25
1781915537.257833927	5637264	5637264	5640559	420481	25
1781915537.474459339	5630224	5637264	5640565	422657	26
1781915537.867566106	5629200	5637264	5640622	424817	27
1781915538.035788026	5629200	5637264	5640628	424817	27
1781915538.274573474	5629720	5637264	5640693	426998	27
1781915538.463928344	5629720	5637264	5640691	426998	27
1781915538.700474653	5624216	5637264	5640687	429164	27
1781915539.106341709	5504972	5637264	5640757	431309	28
1781915539.308354700	5625872	5637264	5640754	431309	28
1781915539.484548570	5625872	5637264	5505144	431515	28
1781915539.665474694	5629848	5637264	5505200	435642	29
1781915540.140983683	5624592	5637264	5640886	435642	29
1781915540.419214571	5633296	5637264	5640882	437804	29
1781915540.625021435	5501776	5637264	5505205	439992	29
1781915540.900516817	5624268	5637264	5640879	439992	29
1781915541.022708043	5491656	5637264	5505262	442174	29
1781915541.290856755	5631056	5637264	5640948	442174	29
1781915541.451619008	5631056	5637264	5640949	442174	29
1781915541.609829620	5627796	5637264	5641011	444360	29
1781915541.834824533	5627796	5637264	5641011	444360	29
1781915542.085221451	5633036	5637264	5641007	446520	29
1781915542.396988803	5629656	5637264	5641014	448700	30
1781915542.610909219	5629656	5637264	5641013	448700	30
1781915542.813347714	5629584	5637264	5641011	450845	30
1781915543.004250711	5629584	5637264	5641007	450845	30
1781915543.131851778	5627984	5637264	5641137	453016	30
1781915543.580302327	5633936	5637264	5641136	455186	30
1781915544.050144399	5620372	5637264	5641208	457364	30
1781915544.245252502	5620372	5637264	5641202	457364	30
1781915544.472066171	5628504	5637264	5641202	459542	30
1781915544.842786321	5494168	5637264	5641265	461722	30
1781915545.021415303	5625676	5637264	5641267	461722	30
1781915545.220898753	5555924	5637264	5641333	463853	30
1781915545.466610317	5623376	5637264	5641335	463853	30
1781915545.686941677	5491088	5637264	5641336	465997	31
1781915545.896688355	5628944	5637264	5641335	465997	31
1781915546.062760001	5628944	5637264	5641328	465997	31
1781915546.246071660	5627400	5637264	5641333	468169	32
1781915546.397568766	5627400	5637264	5641332	468169	32
1781915546.589661412	5629008	5637264	5641333	470343	33
1781915546.813106478	5629008	5637264	5641328	470343	33
1781915547.021408944	5493456	5637264	5505648	471307	33
1781915547.152450843	5623952	5637264	5641336	472463	33
1781915547.338300461	5499472	5637264	5641397	474606	33
1781915547.609569844	5629072	5637264	5641396	474606	33
1781915547.919604769	5629524	5637264	5641396	476797	34
1781915548.142156565	5629524	5637264	5505714	478000	34
1781915548.381606341	5628368	5637264	5641455	478919	34
1781915548.603544816	5628368	5637264	5641463	478919	34
1781915548.795099229	5628108	5637264	5641461	481084	35
1781915548.985113087	5628108	5637264	5641457	481084	35
1781915549.143064320	5495692	5637264	5579576	483205	35
1781915549.295369068	5621968	5637264	5641525	483205	35
1781915549.533662199	5489168	5637264	5641524	485325	35
1781915549.725249297	5628496	5637264	5641522	485325	35
1781915549.889328301	5623564	5637264	5641522	487483	35
1781915550.454739596	5629332	5637264	5641520	489650	35
1781915550.698372633	5629332	5637264	5641525	489650	35
